start,target,elapsed_task_time,method,game_mode,D,W,ID
"(3, 4)","(1, 7)",4.647745132446289,hotcorner,memory,756.43,200.0,2.26
"(1, 5)","(1, 7)",1.504532814025879,hotcorner,memory,816.65,200.0,2.35
"(1, 4)","(1, 7)",2.3514206409454346,hotcorner,memory,993.43,200.0,2.58
"(2, 4)","(1, 7)",2.756887435913086,hotcorner,memory,834.63,200.0,2.37
"(2, 3)","(1, 7)",2.201817512512207,hotcorner,memory,1071.3,200.0,2.67
"(2, 5)","(1, 7)",1.343364715576172,hotcorner,memory,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.4627656936645508,hotcorner,memory,834.63,200.0,2.37
"(3, 4)","(1, 7)",1.240710735321045,hotcorner,memory,756.43,200.0,2.26
"(2, 5)","(1, 7)",3.067368745803833,hotcorner,memory,613.68,200.0,2.02
"(2, 3)","(1, 7)",1.8464560508728027,hotcorner,memory,1071.3,200.0,2.67
"(3, 4)","(1, 7)",1.7078955173492432,hotcorner,memory,756.43,200.0,2.26
"(1, 4)","(1, 7)",1.532801628112793,hotcorner,memory,993.43,200.0,2.58
"(2, 5)","(1, 7)",3.991978406906128,hotcorner,memory,613.68,200.0,2.02
"(2, 4)","(1, 7)",2.5412564277648926,hotcorner,memory,834.63,200.0,2.37
"(1, 4)","(1, 7)",3.084684371948242,hotcorner,memory,993.43,200.0,2.58
"(3, 4)","(1, 7)",2.7061266899108887,hotcorner,memory,756.43,200.0,2.26
"(1, 3)","(1, 7)",6.3628764152526855,hotcorner,memory,1199.16,200.0,2.81
"(1, 3)","(1, 7)",3.896556854248047,hotcorner,memory,1199.16,200.0,2.81
"(2, 5)","(1, 7)",1.3608801364898682,hotcorner,memory,613.68,200.0,2.02
"(2, 5)","(1, 7)",1.6351349353790283,hotcorner,memory,613.68,200.0,2.02
"(2, 5)","(1, 7)",1.3107473850250244,hotcorner,memory,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.5359842777252195,hotcorner,memory,834.63,200.0,2.37
"(2, 4)","(1, 7)",4.5343828201293945,hotcorner,memory,834.63,200.0,2.37
"(2, 3)","(1, 7)",2.507295846939087,hotcorner,memory,1071.3,200.0,2.67
"(2, 5)","(1, 7)",1.2619690895080566,hotcorner,memory,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.6739377975463867,hotcorner,memory,834.63,200.0,2.37
"(2, 3)","(1, 7)",7.365395307540893,hotcorner,memory,1071.3,200.0,2.67
"(2, 5)","(1, 7)",1.6102592945098877,hotcorner,memory,613.68,200.0,2.02
"(2, 5)","(3, 4)",16.34592580795288,head_turn,chase,385.33,271.94,1.27
"(3, 4)","(3, 5)",8.74074649810791,head_turn,chase,256.0,255.0,1.0
"(3, 5)","(1, 4)",9.418351650238035,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",2.099923849105835,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",1.7833914756774902,head_turn,chase,512.0,255.0,1.59
"(1, 5)","(2, 3)",1.6115751266479492,head_turn,chase,587.44,261.89,1.7
"(2, 3)","(3, 3)",1.854175329208374,head_turn,chase,288.0,288.0,1.0
"(3, 3)","(2, 5)",2.570099353790283,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.4400858879089355,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 4)",1.6084318161010742,head_turn,chase,288.0,288.0,1.0
"(3, 4)","(3, 5)",1.3544466495513916,head_turn,chase,256.0,255.0,1.0
"(3, 5)","(1, 4)",2.0864057540893555,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",1.6058847904205322,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(1, 4)",2.104652404785156,head_turn,chase,256.0,255.0,1.0
"(1, 4)","(2, 3)",1.546797513961792,head_turn,chase,385.33,271.94,1.27
"(2, 3)","(3, 3)",1.773319959640503,head_turn,chase,288.0,288.0,1.0
"(3, 3)","(2, 5)",2.080620765686035,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.7664830684661863,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 4)",1.1497406959533691,head_turn,chase,288.0,288.0,1.0
"(3, 4)","(3, 5)",1.19242525100708,head_turn,chase,256.0,255.0,1.0
"(3, 5)","(1, 4)",1.2221181392669678,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",1.077632188796997,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",1.2569222450256348,head_turn,chase,512.0,255.0,1.59
"(1, 5)","(2, 3)",1.091313362121582,head_turn,chase,587.44,261.89,1.7
"(2, 3)","(3, 3)",1.126349925994873,head_turn,chase,288.0,288.0,1.0
"(3, 3)","(2, 4)",1.514763116836548,head_turn,chase,385.33,271.94,1.27
"(2, 4)","(3, 4)",15.04375457763672,head_turn,chase,288.0,288.0,1.0
"(3, 4)","(1, 4)",6.005204200744629,head_turn,chase,576.0,288.0,1.58
"(1, 4)","(1, 3)",2.47146224975586,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(2, 3)",20.96092200279236,head_turn,chase,288.0,288.0,1.0
"(2, 3)","(3, 3)",1.6750645637512207,head_turn,chase,288.0,288.0,1.0
"(3, 3)","(2, 5)",1.6989645957946775,head_turn,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.2758209705352783,head_turn,chase,256.0,255.0,1.0
"(2, 4)","(3, 5)",3.027607679367065,head_turn,memory,385.33,271.94,1.27
"(3, 5)","(3, 3)",3.5751681327819824,head_turn,memory,512.0,255.0,1.59
"(3, 3)","(2, 5)",5.4614012241363525,head_turn,memory,587.44,261.89,1.7
"(2, 5)","(1, 5)",9.949055671691896,head_turn,memory,288.0,288.0,1.0
"(1, 5)","(1, 4)",6.047152519226074,head_turn,memory,256.0,255.0,1.0
"(1, 4)","(3, 3)",4.614915609359741,head_turn,memory,630.33,281.67,1.7
"(3, 3)","(2, 4)",2.322782754898072,head_turn,memory,385.33,271.94,1.27
"(2, 4)","(3, 5)",4.102909803390503,head_turn,memory,385.33,271.94,1.27
"(3, 5)","(2, 3)",2.686462163925171,head_turn,memory,587.44,261.89,1.7
"(2, 3)","(1, 4)",2.905701160430908,head_turn,memory,385.33,271.94,1.27
"(1, 4)","(2, 3)",2.590806007385254,head_turn,memory,385.33,271.94,1.27
"(2, 3)","(1, 5)",2.7515714168548584,head_turn,memory,587.44,261.89,1.7
"(1, 5)","(1, 4)",3.1160764694213867,head_turn,memory,256.0,255.0,1.0
"(1, 4)","(3, 3)",7.894680023193359,head_turn,memory,630.33,281.67,1.7
"(3, 3)","(2, 3)",2.794724464416504,head_turn,memory,288.0,288.0,1.0
"(2, 3)","(2, 5)",5.078063249588013,head_turn,memory,512.0,255.0,1.59
"(2, 5)","(3, 3)",2.7580230236053467,head_turn,memory,587.44,261.89,1.7
"(3, 3)","(2, 4)",2.2583696842193604,head_turn,memory,385.33,271.94,1.27
"(2, 4)","(2, 3)",2.3003251552581787,head_turn,memory,256.0,255.0,1.0
"(2, 3)","(1, 5)",2.3353288173675537,head_turn,memory,587.44,261.89,1.7
"(1, 5)","(1, 3)",2.119991540908813,head_turn,memory,512.0,255.0,1.59
"(1, 3)","(2, 5)",2.149486303329468,head_turn,memory,587.44,261.89,1.7
"(2, 5)","(3, 5)",5.521985054016113,head_turn,memory,288.0,288.0,1.0
"(3, 5)","(1, 5)",2.879913806915283,head_turn,memory,576.0,288.0,1.58
"(1, 5)","(1, 3)",2.315915107727051,head_turn,memory,512.0,255.0,1.59
"(1, 3)","(2, 5)",2.5162198543548584,head_turn,memory,587.44,261.89,1.7
"(2, 5)","(1, 5)",2.0159595012664795,head_turn,memory,288.0,288.0,1.0
"(1, 5)","(2, 4)",2.1924893856048584,head_turn,memory,385.33,271.94,1.27
"(2, 4)","(2, 3)",2.9632725715637207,head_turn,memory,256.0,255.0,1.0
"(2, 3)","(1, 3)",2.672471046447754,head_turn,memory,288.0,288.0,1.0
"(1, 3)","(2, 3)",3.059513092041016,head_turn,memory,288.0,288.0,1.0
"(2, 3)","(3, 5)",2.511560440063477,head_turn,memory,587.44,261.89,1.7
"(2, 3)","(1, 7)",1.653337478637695,hotcorner,chase,1071.3,200.0,2.67
"(3, 5)","(1, 7)",8.37706732749939,hotcorner,chase,502.19,200.0,1.81
"(3, 4)","(1, 7)",4.05581259727478,hotcorner,chase,756.43,200.0,2.26
"(1, 3)","(1, 7)",1.856966257095337,hotcorner,chase,1199.16,200.0,2.81
"(2, 5)","(1, 7)",1.7077877521514893,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.1702635288238523,hotcorner,chase,834.63,200.0,2.37
"(3, 3)","(1, 7)",1.4126393795013428,hotcorner,chase,1011.57,200.0,2.6
